Country,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Burundi,Sub-Saharan Africa,East Africa,,"Sylvie Kinigi (July 10, 1993 to October 27, 1993)",Sylvie Kinigi,1,37.5,34,38.89,27,-1,-1,19.1,83,36.9,53
Cambodia,Asia and the Pacific,South Asia,, ,,0,9.38,158,19.79,121,-1,-1,16.93,92,13.9,144
Cameroon,Sub-Saharan Africa,Central Africa,, ,,0,14.89,126,31.07,53,-1,-1,25.33,72,24.1,96
Canada,Americas,North America,,"Kim Campbell (June 25, 1993 to November 4, 1993)",Kim Campbell,1,51.43,1,33.64,41,34.3,29,26.6,64,47.9,27
Cape Verde,Sub-Saharan Africa,West Africa,, ,,0,14.29,128,26.39,77,13.25,80,28.36,51,21.5,109
Central African Republic,Sub-Saharan Africa,Central Africa,, ,,0,20.69,96,8.57,171,-1,-1,-1,-1,11.8,158
Chad,Sub-Saharan Africa,West Africa,, ,,0,20,97,14.81,145,10.29,86,-1,-1,13.5,149
Chile,Americas,South America,,"Michelle Bachelet (March 11, 2006 to March 11, 2010), Michelle Bachelet (March 11, 2014 to March 11, 2018)",Michelle Bachelet,1,30.43,61,23.23,94,41.3,16,24.86,76,37.9,48
China,Asia and the Pacific,East Asia,, ,,0,3.23,181,24.94,85,0,-1,0,-1,12.2,157
Colombia,Americas,South America,, ,,0,36.84,35,19.64,122,31.96,36,17.9,88,30.3,71
Comoros,Sub-Saharan Africa,East Africa,, ,,0,10,151,16.67,137,-1,-1,28,53,17.5,129
Costa Rica,Americas,Central America,,"Laura Chinchilla (May 8, 2010 to May 8, 2014)",Laura Chinchilla,1,52,1,45.61,11,49.33,2,45.64,8,74.2,1
Croatia,Europe,Southeastern Europe,,"Jadranka Kosor (July 6, 2009 to December 23, 2011), Kolinda Grabar-Kitarovic (February 19, 2015 to February 18, 2020)","Jadranka Kosor, Kolinda Grabar-Kitarovic",2,23.53,80,31.13,52,41.96,13,26.39,65,39,45
Cuba,Americas,Caribbean,, ,,0,22.58,84,51.74,1,53.22,1,34.87,29,56.5,17
Cyprus,Europe,Southeastern Europe,, ,,0,27.27,71,21.43,107,21.91,59,-1,-1,23.2,98
Czech Republic,Europe,Eastern Europe,, ,,0,30.77,58,20.64,115,28.63,46,27.06,59,29.5,73
North Korea,Asia and the Pacific,East Asia,, ,,0,0,182,17.61,132,17.61,67,-1,-1,10.7,165
Democratic Republic of Congo,Sub-Saharan Africa,Central Africa,, ,,0,17.78,109,14.29,151,-1,-1,-1,-1,12.8,153
Denmark,Europe,Northern Europe,Mette Frederiksen,"Helle Thorning-Schmidt (October 3, 2011 to June 28, 2015), Mette Frederiksen (June 27, 2019 to Incumbent)","Helle Thorning-Schmidt, Mette Frederiksen (current)",2,31.58,50,39.66,22,34.33,28,33.33,35,44.4,29
Djibouti,Sub-Saharan Africa,East Africa,, ,,0,13.04,135,26.15,79,25,51,28.87,49,24.9,89
Dominica,Americas,Caribbean,,"Dame Eugenia Charles (July 21, 1980 to June 14, 1995)",Dame Eugenia Charles,1,31.25,54,34.38,40,30.95,41,-1,-1,41.8,38
Dominican Republic,Americas,Caribbean,, ,,0,17.39,111,25.68,82,-1,-1,28.34,52,23.8,97
East Timor,Asia and the Pacific,South Asia,, ,,0,15,124,38.46,28,-1,-1,3.95,123,21.1,110
Ecuador,Americas,South America,, ,,0,32,47,39.42,23,-1,-1,27.17,57,37.4,50
Egypt,Middle East and North Africa,North Africa,, ,,0,24.24,78,33.89,49,-1,-1,-2,-2,26.2,83
El Salvador,Americas,Central America,, ,,0,43.75,18,33.33,43,-1,-1,32.44,36,44,31
